(1.000000;1.000000)
(1.100000;0.654545)
(1.200000;0.422727)
(1.300000;0.232284)
(1.400000;0.077664)
(1.500000;-0.049848)
(1.600000;-0.156158)
(1.700000;-0.245687)
(1.800000;-0.321768)
(1.900000;-0.386951)



(1.000000;1.000000)
(1.050000;0.814286)
(1.100000;0.662121)
(1.150000;0.527790)
(1.200000;0.409083)
(1.250000;0.303651)
(1.300000;0.209593)
(1.350000;0.125334)
(1.400000;0.049562)
(1.450000;-0.018823)
(1.500000;-0.080749)
(1.550000;-0.137003)
(1.600000;-0.188255)
(1.650000;-0.235082)
(1.700000;-0.277976)
(1.750000;-0.317366)
(1.800000;-0.353623)
(1.850000;-0.387070)
(1.900000;-0.417990)
(1.950000;-0.446630)



(1.000000;1.000000)
(1.025000;0.903659)
(1.050000;0.816463)
(1.075000;0.735059)
(1.100000;0.659002)
(1.125000;0.587835)
(1.150000;0.521148)
(1.175000;0.458571)
(1.200000;0.399775)
(1.225000;0.344462)
(1.250000;0.292361)
(1.275000;0.243229)
(1.300000;0.196845)
(1.325000;0.153007)
(1.350000;0.111533)
(1.375000;0.072256)
(1.400000;0.035023)
(1.425000;-0.000304)
(1.450000;-0.033854)
(1.475000;-0.065744)
(1.500000;-0.096082)
(1.525000;-0.124966)
(1.550000;-0.152488)
(1.575000;-0.178732)
(1.600000;-0.203776)
(1.625000;-0.227693)
(1.650000;-0.250548)
(1.675000;-0.272404)
(1.700000;-0.293318)
(1.725000;-0.313343)
(1.750000;-0.332530)
(1.775000;-0.350923)
(1.800000;-0.368567)
(1.825000;-0.385502)
(1.850000;-0.401764)
(1.875000;-0.417389)
(1.900000;-0.432411)
(1.925000;-0.446859)
(1.950000;-0.460762)
(1.975000;-0.474148)
(2.000000;-0.487041)



