(0.000000;0.500000)
(0.100000;0.768727)
(0.200000;0.921819)
(0.300000;0.921819)
(0.400000;0.921819)
(0.500000;0.921819)
(0.600000;0.921819)
(0.700000;0.921819)
(0.800000;0.921819)
(0.900000;0.921819)
(1.000000;0.921819)



(0.000000;0.500000)
(0.050000;0.615372)
(0.100000;0.921819)
(0.150000;0.921819)
(0.200000;0.921819)
(0.250000;0.921819)
(0.300000;0.921819)
(0.350000;0.921819)
(0.400000;0.921819)
(0.450000;0.921819)
(0.500000;0.921819)
(0.550000;0.921819)
(0.600000;0.921819)
(0.650000;0.921819)
(0.700000;0.921819)
(0.750000;0.921819)
(0.800000;0.921819)
(0.850000;0.921819)
(0.900000;0.921819)
(0.950000;0.921819)



(0.000000;0.500000)
(0.025000;0.553633)
(0.050000;0.921819)
(0.075000;0.921819)
(0.100000;0.921819)
(0.125000;0.921819)
(0.150000;0.921819)
(0.175000;0.921819)
(0.200000;0.921819)
(0.225000;0.921819)
(0.250000;0.921819)
(0.275000;0.921819)
(0.300000;0.921819)
(0.325000;0.921819)
(0.350000;0.921819)
(0.375000;0.921819)
(0.400000;0.921819)
(0.425000;0.921819)
(0.450000;0.921819)
(0.475000;0.921819)
(0.500000;0.921819)
(0.525000;0.921819)
(0.550000;0.921819)
(0.575000;0.921819)
(0.600000;0.921819)
(0.625000;0.921819)
(0.650000;0.921819)
(0.675000;0.921819)
(0.700000;0.921819)
(0.725000;0.921819)
(0.750000;0.921819)
(0.775000;0.921819)
(0.800000;0.921819)
(0.825000;0.921819)
(0.850000;0.921819)
(0.875000;0.921819)
(0.900000;0.921819)
(0.925000;0.921819)
(0.950000;0.921819)
(0.975000;0.921819)



