(1.000000;1.000000)
(1.100000;0.600000)
(1.200000;0.309091)
(1.300000;0.090909)
(1.400000;-0.076923)
(1.500000;-0.208791)
(1.600000;-0.314286)
(1.700000;-0.400000)
(1.800000;-0.470588)
(1.900000;-0.529412)



(1.000000;1.000000)
(1.050000;0.800000)
(1.100000;0.628571)
(1.150000;0.480519)
(1.200000;0.351779)
(1.250000;0.239130)
(1.300000;0.140000)
(1.350000;0.052308)
(1.400000;-0.025641)
(1.450000;-0.095238)
(1.500000;-0.157635)
(1.550000;-0.213793)
(1.600000;-0.264516)
(1.650000;-0.310484)
(1.700000;-0.352273)
(1.750000;-0.390374)
(1.800000;-0.425210)
(1.850000;-0.457143)
(1.900000;-0.486486)
(1.950000;-0.513514)



(1.000000;1.000000)
(1.025000;0.900000)
(1.050000;0.807317)
(1.075000;0.721254)
(1.100000;0.641196)
(1.125000;0.566596)
(1.150000;0.496970)
(1.175000;0.431884)
(1.200000;0.370953)
(1.225000;0.313830)
(1.250000;0.260204)
(1.275000;0.209796)
(1.300000;0.162353)
(1.325000;0.117647)
(1.350000;0.075472)
(1.375000;0.035639)
(1.400000;-0.002020)
(1.425000;-0.037662)
(1.450000;-0.071429)
(1.475000;-0.103448)
(1.500000;-0.133840)
(1.525000;-0.162712)
(1.550000;-0.190164)
(1.575000;-0.216288)
(1.600000;-0.241167)
(1.625000;-0.264881)
(1.650000;-0.287500)
(1.675000;-0.309091)
(1.700000;-0.329715)
(1.725000;-0.349429)
(1.750000;-0.368286)
(1.775000;-0.386335)
(1.800000;-0.403622)
(1.825000;-0.420188)
(1.850000;-0.436073)
(1.875000;-0.451314)
(1.900000;-0.465946)
(1.925000;-0.480000)
(1.950000;-0.493506)
(1.975000;-0.506494)
(2.000000;-0.518987)



