(0.000000;1.042306)
(0.100000;0.982921)
(0.200000;0.962108)
(0.300000;0.980528)
(0.400000;1.038816)
(0.500000;1.137587)
(0.600000;1.277437)
(0.700000;1.458944)
(0.800000;1.682673)
(0.900000;1.949180)



(0.000000;1.042306)
(0.050000;1.012614)
(0.100000;0.992442)
(0.150000;0.981884)
(0.200000;0.981029)
(0.250000;0.989966)
(0.300000;1.008782)
(0.350000;1.037562)
(0.400000;1.076391)
(0.450000;1.125351)
(0.500000;1.184524)
(0.550000;1.253990)
(0.600000;1.333828)
(0.650000;1.424117)
(0.700000;1.524934)
(0.750000;1.636357)
(0.800000;1.758460)
(0.850000;1.891321)
(0.900000;2.035014)
(0.950000;2.189614)



